Mix1	Mix2	Mix3	Mix4	Mix5
T cells	1265.63385878286	1117.48541356447	831.415955022739	411.236602032941	299.339962685923
CD8 T cells	443.01350194447	40.80078818852	68.46217109457	246.28505665531	23.55175720301
Cytotoxic lymphocytes	799.06488754465	592.818716603108	2521.1804988208	306.159197545378	498.44543145405
NK cells	257.277248922286	236.903352689436	473.003301222839	196.256655625249	190.550488893614
B lineage	3756.28757755981	2809.70940483784	176.653763782868	3101.05994039093	159.285727478111
Monocytic lineage	248.713318290486	476.828664798571	862.517297432643	413.466918890457	1377.01117305879
Myeloid dendritic cells	237.208779554528	596.44696871014	384.919424752824	479.88839903627	1167.16512734006
Neutrophils	149.179055200674	168.117020856801	205.170109207945	1085.9986904064	1260.07657208526
Endothelial cells	74.63343268673	81.5469695760161	57.7385947652074	101.742420089703	93.5553311736383
Fibroblasts	120.04011720545	114.255427989538	95.5043649203375	116.13686894575	101.957676107125
