cell_type	CD4 T cells GSM723848	CD4 T cells GSM900542	CD4 T cells GSM372728	CD4 T cells GSM900581	CD8 T cells GSM1027255	CD8 T cells GSM146189	CD8 T cells GSM372814	CD8 T cells GSM1027250	NK cells GSM687248	NK cells GSM687245	NK cells GSM705426	NK cells GSM687244	B cells GSM746745	B cells GSM705406	B cells GSM658012	B cells GSM746748	Neutrophils GSM322292	Neutrophils GSM214983	Neutrophils GSM422128	Neutrophils GSM211084	Monocytes GSM422113	Monocytes GSM940516	Monocytes GSM940510	Monocytes GSM189451	Macrophages GSM411210	Macrophages GSM411215	Macrophages GSM411191	Macrophages GSM411197	Dendritic cells GSM140973	Dendritic cells GSM140953	Dendritic cells GSM128975	Dendritic cells GSM128972	Fibroblast GSM486528	Fibroblast GSM486532	Fibroblast GSM841027	Fibroblast GSM418757	Endothelium GSM143729	Endothelium GSM244653	Endothelium GSM244649	Endothelium GSM143732	clear-cell renal cell carcinoma GSM102459	clear-cell renal cell carcinoma GSM277700	clear-cell renal cell carcinoma GSM231984	clear-cell renal cell carcinoma GSM203801	low grade glioma GSM405331	low grade glioma GSM405318	low grade glioma GSM405399	low grade glioma GSM97842	breast adenocarcinoma ML_132D_U133_2	breast adenocarcinoma GSM585358	breast adenocarcinoma DB_66_U133_2	breast adenocarcinoma GSM137936
T cells	8.638603551643268	8.865774575141698	8.625993213178477	8.654438378040632	8.461133231961888	7.7656162200960015	7.471477388014688	8.347770084159105	5.634176917434689	5.444747959230837	5.324729362976183	5.328221485457245	4.885896838489793	4.760991807543967	5.912047111760121	5.01049557633648	4.970661474203529	6.361127992123553	5.0828752782923665	4.7480196511192805	4.8782228370270255	4.884764424574817	5.188130713809342	5.4794639072211	4.90283957112197	4.7900911215693	4.820112244029006	4.898385570047627	5.14733442807032	5.143177433564584	5.001380226794105	4.932160549274523	4.570984556553626	4.547217042809966	4.736810212171739	4.739643049477617	4.721124316997809	4.607841567090312	4.653068765832698	4.694884247574751	5.036242644341087	5.388041827668911	5.129860861842667	5.105096672442231	4.406625346689877	4.407183568915191	4.347938078929762	4.628071942765521	4.609285294166531	5.308928256662183	5.159341929858979	4.891221057733822
CD8 T cells	4.61091260553444	4.967464067651878	5.384429539576406	4.741622137630749	9.817462314939103	8.865766305429283	9.80995489634379	10.481889958407834	4.8720859130840415	4.749342151002011	5.237534246763207	4.9234759313603815	5.082820100636212	4.674403096968249	5.712663811072819	5.2261607392663425	4.910731337816346	6.990969987341007	5.234647395817342	4.909584611524918	5.050483495305145	5.041782774564484	5.2904460955736425	5.00164985810182	5.081146499433025	5.044291287979836	4.959911479309283	5.069274152906721	4.964066335158487	5.093682622609608	5.036348377578413	4.839926595946385	4.513052053129723	4.376801391099556	4.733064577138818	4.784050804269102	4.78699297268027	4.478585958626876	4.542730662987102	4.790297077452043	5.03202294652683	5.191534665265658	5.041624452528277	4.716381040465253	4.411195206501306	4.599737378298621	4.480923431693706	4.654189192878466	4.679012355880289	5.012623264387258	5.228727828658802	4.911247728520355
Cytotoxic lymphocytes	5.635661701712048	4.783086867673823	5.481470641784123	5.162133249718301	8.210053120079651	8.671474490070354	9.82842083414678	9.444317242343585	10.452376394615747	10.080969364736646	10.490110980634817	9.623880208381436	4.45011272349741	4.816110131168053	6.936087653139448	4.872244196147136	4.926855448822205	8.831701095256282	5.46765434965139	4.767867764718185	4.5933237015673685	4.867655397613574	5.323980298758438	6.869539170588451	4.585770833425511	4.610829222145718	4.6429221573540715	4.578716844523196	5.0257514864901465	5.7805260338800855	4.6266014954108305	4.6185269150990695	4.200928310583681	4.138153718484748	4.424380764230709	4.445536872248374	4.367453710967427	4.156830961748308	4.17208434295121	4.355502613503917	4.979531791567085	5.178463562850774	4.97219541859281	5.001313211084063	6.225417335996747	5.500111048838845	4.061619527505076	5.229290184745617	4.539136861072727	5.139408311633238	5.5534279588852975	4.774700742890905
NK cells	5.663707919975848	4.693763013787089	4.699554659946099	4.5291773860944025	4.69759387864973	5.711583161966363	5.659675648253644	5.399206662438862	8.563215731232061	7.977275173733418	7.690135576584455	8.155287480049264	4.439260715610514	4.450908003047949	5.068926197530086	4.425033212906856	5.043871708608707	6.5828959746613585	5.17070129046507	4.8757480277992356	5.344615762740826	4.707182728367951	4.71242135135919	5.04543646810628	4.9535187227362725	4.8504298103252275	4.798930850030278	4.8725549178465695	4.802036545077749	4.913179022152551	4.727538795837674	4.719036615449246	4.404640778695334	4.330760473605195	4.671192488131742	4.431043442811983	4.651162248023186	4.336222126232742	4.404601390086148	4.57793437243057	4.797371051017498	4.649399614547662	4.706027063184185	4.660629778111449	4.344942774393996	4.462903765608855	4.124441284074035	4.551642499970091	4.205173351242913	4.562216660311973	4.5377021144261915	4.554129816430432
B lineage	4.547735396245389	5.53847371630442	4.907785793358375	4.818149374217356	4.519399376335092	5.905816737958395	5.939284538071197	4.847203333437431	4.712291651240546	4.819714884109475	4.798144940353616	4.723828810790378	9.902243229688164	9.693585086992176	10.238466033771916	10.012501434948526	5.04724086860054	9.1594852376111	5.265495716830159	5.1513931536601785	4.958815996856857	4.875037342050495	5.065610895792705	5.325001904449656	5.07672873362714	5.0263291319388514	4.949671636466919	4.977484161621008	6.996213398678981	7.139942185860115	4.995466661957874	5.052381039254166	4.5326695796191485	4.378613841467168	4.848203240243688	4.691047282411836	4.649945247158662	4.392515421123933	4.3829858107778925	4.649684054168955	5.07659780157902	5.582585096996572	4.7823362107033764	4.871382101852365	4.368316656870217	4.541302639392355	4.15061964677897	4.680640555521103	4.5047641751040155	5.233642993786727	4.82905039066967	5.061819431295925
Monocytic lineage	4.836572593572992	6.155968092746637	5.183356741593946	4.649950363246707	4.729836718366425	5.246997896408252	5.685669294271161	4.919716427202177	5.009718572416141	5.043082050834674	5.8298654327689095	4.959300518672315	5.496409822864403	5.233701677801839	6.888027818848717	5.542100691074998	5.724847319873717	5.86338215324322	5.454905368156152	5.466210585288582	7.920166968383732	8.403922675795764	8.578134743454688	9.796064142069543	9.61596351767469	10.347456702965916	9.05484496111106	9.566954028057452	9.4399932314821	9.714729494754415	8.079415499239428	7.729764688005902	5.140788188119792	5.351064464679836	5.433051249525451	5.089928458449366	5.394259875306946	5.286561632516851	5.379260232652783	5.472927368569844	6.88526985687175	6.89376820778146	7.03563657510282	7.9515809602259635	6.734401241589907	6.692497205910069	6.542789333266759	7.009320430354105	6.156048061806876	6.969595499886446	6.551560236124227	6.670192846524383
Myeloid dendritic cells	4.547653188909159	6.827821624203721	4.758276908006876	4.383383449892162	4.459046988301735	5.512334102989688	4.837906983881823	4.487371382331239	4.526163690996892	4.601978826931131	4.808985095975091	4.842695840758202	5.359021583761452	5.088879114934407	5.404678103037299	5.107995621522073	5.275458700611726	5.021030335879329	5.385261078284876	5.155854400964837	5.752275177973185	5.741799554216688	6.309607932991929	6.414935178734334	5.814828164294182	6.193986466737559	5.705144101824479	5.641198147494606	11.576092081689794	8.933146923085468	6.195571646711974	6.463667044721623	4.73888880310878	4.727848920437063	5.2015295547928755	4.784392157474616	4.806093632562855	4.830795841416594	5.044599479527536	4.787671233220162	5.095522285023587	5.750690761401891	5.117826203221512	5.2661998113948405	4.7764199232121936	4.862069448023899	4.455375171729023	4.90732563974949	4.913731232512565	4.8951421209028645	6.502617085758401	5.132701816169366
Neutrophils	4.784872707550625	4.84310750138086	5.0798988456367375	4.836300930869203	4.800441880623781	5.113348613017273	5.371766609636252	4.845083517765863	5.1168529317671965	5.169098786377999	5.301315047452737	5.194410722865905	4.951652240049215	4.93023796743262	6.134687618796486	5.022202521297687	10.231169198509146	9.487499011765326	9.906001533435935	10.283224193043598	6.17656475285942	6.491954027870791	6.759906325986942	6.512828912450932	6.05139727356138	5.858912912819684	5.68726103104698	6.133578877802361	5.171081399303094	5.164236093666347	5.086862855362776	5.258825619825608	5.013653599267953	4.962495344196166	5.184292865323413	4.9742151404017125	5.101569890121895	5.143424802182862	5.186950659726976	5.18744643158221	5.446068874440694	5.44446329353221	5.815500906333547	5.918705300908886	5.492929157327714	5.161800433135321	4.938308347115692	5.025297969613115	4.8460650623042945	5.101810069915053	5.0756646127599225	5.012006619000342
Endothelial cells	4.472405788914024	4.541739052445064	4.474636388825642	4.249073539632662	4.346046367140822	4.773514593965291	4.4618572759803525	4.327688288630475	4.432930087381611	4.492330307000212	4.77612855190687	4.5851155410013895	4.44112381562328	4.458849498505532	4.439327790268783	4.504195957988194	4.9606268844934815	4.691137114010282	5.045626869356701	4.945554398174813	4.812782405695124	4.539657351426982	4.470756872924961	4.605554984401036	4.870065042719985	4.722872764974993	4.8204631548749015	4.838512046279631	4.579152735325521	4.677281013823755	4.843817401638663	4.717489060595685	5.14083967856662	5.075785167502949	5.130959405254774	5.056299352356457	9.656738588697056	9.695863519556823	9.71976462153057	9.750068778968862	6.656479592516131	7.305575329322786	7.286920634133035	6.532172959385407	5.479940239833426	6.289712963120998	5.864340019673872	5.385981091806392	5.589195179609057	5.522606741282799	5.4281878983821965	5.265207933980992
Fibroblasts	4.898783642574221	4.939475727479421	4.994901023101819	4.740076828848624	4.994765550762453	5.299967513680839	5.082975876800915	4.863604556588295	4.863669001680851	4.917008761006504	5.104167498358338	4.9983943124145105	5.085890172031062	4.917087260288646	4.993207524044608	5.186810948530664	5.146400427424566	5.188860925477967	5.218450044910969	5.046994800273464	5.608572742272163	5.251105349779212	4.951640708387954	4.867321538684355	5.228133781867047	5.107777538715003	5.720351304850963	5.087085279934685	5.196365055252295	5.181832957958879	5.430441485872341	5.422581316787575	10.613015391798092	10.758982657850167	11.310244165369474	11.446663592043937	5.580866054706082	5.363960263853653	5.398496528949075	5.303341036805826	6.60206300380439	9.184738439534753	7.361866697528423	6.1592296007931795	6.3135843224737185	6.847536974849496	7.019270862191004	6.1389863304385175	9.978754081989058	7.877191564514951	8.347259250231303	8.078885365084814
